Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Fouls,Tackles,Inter,OwnG,Drb,Clear,Blocks,Offsides,Fouled,KeyP,Off,UnsTch,Disp,Crosses,AvgP,LongB,ThrB,Shots,xG/Shots,xG,xGDiff,xG/90
82,Jordan Ayew,Crystal Palace,33,"AM(CLR),FW",30(5),2551,4,7,7,1,1.4,80.6,1,3,6.85,1.3,1.9,0.5,-,0.6,0.4,0.1,-,2.7,0.7,0.2,2.4,2.3,0.5,23.2,0.3,-,48.0,0.08,4.03,-0.03,0.14
83,Kyle Walker,Man City,34,"D(CR),M(R)",30(2),2767,-,4,2,-,0.5,90.4,0.8,-,6.85,0.7,1.2,0.8,-,0.6,1.1,0.2,0.3,0.6,0.8,0.2,0.8,0.4,0.6,66.8,2.4,0.1,16.0,0.03,0.42,-0.42,0.01
84,André Onana,Man Utd,28,GK,38,3420,-,-,5,-,-,70.4,0.4,2,6.84,-,0.1,-,-,-,0.6,-,-,0.1,0.1,-,-,-,-,36.1,5.4,-,,,,,
85,Noni Madueke,Chelsea,22,"AM(R),FW",13(10),1057,5,2,2,-,1.4,88.5,0.3,2,6.84,0.3,0.7,0.2,-,1,0.5,-,-,0.8,0.9,0.1,1.1,0.6,0.2,19.7,0.4,-,32.0,0.09,2.79,2.21,0.24
86,James Garner,Everton,23,M(CR),34(3),3006,1,2,7,-,1.1,82.8,0.7,-,6.84,1.1,2.2,1.2,-,1.3,1.2,0.4,-,1.2,1.2,0.1,0.9,0.3,0.7,30.0,1.2,0.1,41.0,0.06,2.42,-1.42,0.07
87,Ibrahima Konaté,Liverpool,25,D(C),17(5),1571,-,-,3,1,0.5,88.0,3.5,-,6.84,1.1,1.6,0.9,-,0.3,2.3,0.5,0.8,0.6,0.4,-,0.4,0.2,-,65.9,2.1,0.1,11.0,0.05,0.57,-0.57,0.03
88,Richarlison,Tottenham,27,"AM(CLR),FW",18(10),1493,11,4,3,-,2.2,70.9,0.9,1,6.83,0.7,0.6,0.3,-,0.3,0.8,0.2,-,1.1,0.5,0.4,1.9,1.4,-,13.4,0.3,-,62.0,0.16,10.01,0.99,0.6
89,Rúben Dias,Man City,27,D(C),28(2),2558,-,-,-,-,0.7,94.1,1.6,-,6.83,0.8,1.3,1,1,0.2,2.5,0.6,0.6,0.5,0.2,-,0.3,0.2,0.1,86.9,2.8,0.1,20.0,0.09,1.84,-1.84,0.06
90,Idrissa Gueye,Everton,35,M(C),24(1),1896,4,-,8,-,1,85.6,0.6,1,6.83,1.4,2.9,1.1,-,0.7,0.6,0.3,-,1.2,0.6,-,0.7,0.8,-,35.2,0.9,-,26.0,0.07,1.73,2.27,0.08
91,Lewis Cook,Bournemouth,27,M(CL),32(1),2792,-,3,5,1,0.4,81.2,1.3,2,6.83,1.2,1.8,2,-,0.9,1.3,0.3,-,0.5,1.4,0.1,1.1,0.6,1,40.7,1.5,-,12.0,0.04,0.44,-0.44,0.01
92,Martin Dúbravka,Newcastle,35,GK,22(1),1984,-,-,1,-,-,74.9,0.2,2,6.83,0.1,-,-,-,0.2,0.7,-,-,0.2,-,-,0.1,-,-,22.0,3.1,-,,,,,
93,Alfie Doughty,Luton,25,"D(L),M(LR)",34(3),2938,2,8,5,-,0.7,75.2,0.6,2,6.83,0.8,1.7,0.8,-,1.2,1,0.2,0.1,0.2,1.9,0.4,1.4,0.4,2.4,29.5,1.8,-,26.0,0.07,1.8,0.2,0.06
