Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
111,Rodrigo Muniz,Fulham,23,FW,18(8),1598,9,1,2.8,0.7,0.2,1.3,0.2,1.3,2.1,6.79
112,Callum Hudson-Odoi,Nottingham Forest,24,M(CLR),20(9),1856,8,1,1.3,1.2,1.5,1,0.3,1.1,1.2,6.79
113,Dominic Calvert-Lewin,Everton,27,"AM(L),FW",26(6),2189,7,2,2.3,0.6,0.4,1,0.8,0.8,2,6.79
114,Manuel Akanji,Man City,29,"D(CLR),DMC",28(2),2514,2,-,0.5,0.4,0.1,0.6,-,0.3,0.5,6.78
115,Carlton Morris,Luton,29,"AM(CL),FW",32(6),2867,11,4,1.9,0.6,0.8,1.1,0.2,1.4,1.4,6.78
116,Emerson,West Ham,30,"D(L),M(L)",35(1),3143,1,2,0.5,0.7,0.7,0.9,-,0.5,1,6.78
117,Tyrick Mitchell,Crystal Palace,25,"D(L),M(L)",37,3209,2,3,0.3,0.6,0.5,0.4,-,0.8,1.2,6.78
118,Thiago Silva,Chelsea,40,D(C),28(3),2528,3,1,0.5,0.3,0.1,0.3,-,-,0.2,6.77
119,Alex Iwobi,Fulham,28,"D(R),M(CLR)",25(5),2205,5,2,1.7,1.6,1.2,0.2,0.2,0.9,1.7,6.77
120,Chiedozie Ogbene,Luton,27,"M(CLR),FW",20(10),1994,4,1,1.2,0.9,2,1.7,0.3,0.7,2,6.76
121,Brennan Johnson,Tottenham,23,"AM(CLR),FW",23(9),2093,5,10,1.6,1.4,0.8,0.9,0.4,0.6,1.1,6.76
122,Alejandro Garnacho,Man Utd,20,AM(CLR),30(6),2578,7,4,2.8,1.3,1.3,1.5,0.4,1.4,1.9,6.76
123,Rayan Aït-Nouri,Wolves,23,"D(L),M(L)",29(4),2347,2,1,0.7,0.8,1.9,1.6,0.2,1.7,1.5,6.76
124,Edson Álvarez,West Ham,27,"D(C),DMC",28(3),2385,1,1,0.5,0.4,0.9,0.5,-,1,1.2,6.76
125,Enzo Fernández,Chelsea,23,M(C),26(2),2215,3,2,1.7,1.1,0.8,1.1,0.1,0.9,1,6.75
126,Aaron Wan-Bissaka,Man Utd,27,"D(LR),M(R)",20(2),1782,-,2,0.1,0.5,0.8,0.4,-,0.4,0.9,6.75
127,Chris Wood,Nottingham Forest,33,FW,20(11),1810,14,1,1.5,0.7,0.2,0.4,0.2,0.7,1.6,6.75
128,Andreas Pereira,Fulham,28,M(CLR),34(3),2638,3,7,1.4,2.3,0.5,0.7,0.1,1.1,1.3,6.75
129,Joelinton,Newcastle,28,"AM(CLR),FW",15(5),1281,2,1,1,1.2,0.9,1.2,-,1.4,1.1,6.75
